Execuation time 01 - CM vector parsing: 60.289682149887085 
Execuation time 02 - Property parsing: 1.7818338871002197 
Execuation time 03 - Fold parsing: 213.8570520877838 
Execuation time 04 - Reindex: 0.46221113204956055 

--- Training and Testing BR ---

 Prop_Id       Err_MAD      Err_RMSD Time_Train  Time_Test
       0    0.56146730    0.62875020      70.77       0.01
       1    0.16311821    0.07750723      69.47       0.01
       2    0.56467905    0.59031977      74.71       0.01
       3    0.49533964    0.37491877      79.09       0.01
       4    0.56286563    0.49499791      76.18       0.01
       5    0.19792349    0.07356319      73.66       0.01
       6    0.02935712    0.00164668      74.03       0.01
       7    0.08822254    0.01544828      73.20       0.01
       8    0.08756207    0.01522274      75.05       0.01
       9    0.08695039    0.01502148      75.44       0.03
      10    0.09574380    0.01804170      77.09       0.01
      11    0.22279853    0.08262190      78.50       0.01
      12    0.49245906    0.38919092      77.04       0.01

--- Training and Testing EN ---

 Prop_Id       Err_MAD      Err_RMSD Time_Train  Time_Test
       0    0.56154237    0.62839819    3294.87       0.01
       1    0.16318583    0.07750839    4391.49       0.01
       2    0.56485883    0.59047531    3521.31       0.01
       3    0.49505143    0.37377844    3625.61       0.01
       4    0.56236179    0.49466573    3670.28       0.01
       5    0.19793345    0.07355303    4074.02       0.01
       6    0.02935982    0.00164593    3528.61       0.01
       7    0.08821626    0.01544299    3771.02       0.01
       8    0.08755622    0.01521749    3320.64       0.01
       9    0.08694420    0.01501630    3198.51       0.01
      10    0.09574050    0.01803548    3174.23       0.01
      11    0.22274113    0.08257792    3189.23       0.01
      12    0.49221591    0.38879733    3560.40       0.01
