Execuation time 01 - CM vector parsing: 60.755836725234985 
Execuation time 02 - Property parsing: 1.7485244274139404 
Execuation time 03 - Fold parsing: 222.28982949256897 
Execuation time 04 - Reindex: 0.46749448776245117 

--- Training and Testing RF ---

 Prop_Id       Err_MAD      Err_RMSD Time_Train  Time_Test
       0    0.39956665    0.37294487    3742.84       0.23
       1    0.12405329    0.04926281    3014.59       0.23
       2    0.34119479    0.22612331    4474.21       0.23
       3    0.23210894    0.11634639    4767.78       0.23
       4    0.28437877    0.16203862    4267.14       0.23
       5    0.15792395    0.05472217    4182.05       0.23
       6    0.02159955    0.00083206    2746.15       0.23
       7    0.04069887    0.00331084    2818.01       0.23
       8    0.04060121    0.00327990    2851.67       0.13
       9    0.04029037    0.00325466    2790.12       0.13
      10    0.04358849    0.00383714    2818.14       0.23
      11    0.18692606    0.06232690    2954.88       0.23
      12    0.04762132    0.01619921    7064.99       0.13
